id,title,domain,severity,effort,files,evidence,recommendation,cve
ARCH-03,cloudflare-auth ships settings.py and config.py with divergent CloudflareSettings; dead module is test-only,architecture,Critical,S,packages/cloudflare-auth/src/cloudflare_auth/config.py;packages/cloudflare-auth/src/cloudflare_auth/settings.py;packages/cloudflare-auth/tests/conftest.py,"Production imports cloudflare_auth.config; tests import cloudflare_auth.settings; the two CloudflareSettings classes diverge on env aliases (CF_* vs CLOUDFLARE_*), require_cloudflare_headers default (True vs False), and certs_url. Tests validate a module the package does not ship.","Delete settings.py, repoint its tests to config.py, and reconcile the env-var contract before publishing.",
CI-01,CI tests only 2 of 4 packages; cloudflare-api and gemini-image published with no CI,cicd,Critical,M,ci.yml:32-156;packages/;publish-artifact-registry.yml:96,"ci.yml defines test jobs only for cloudflare-auth (line 63) and gcs-utilities (line 111); detect-changes (51-60) lists only those two. cloudflare-api and gemini-image are published to Artifact Registry with zero test, lint, or type-check in CI.",Add test-cloudflare-api and test-gemini-image jobs and path filters mirroring the existing two; wire both into ci-gate.,
CI-02,Coverage gate disabled in CI (--cov-fail-under=0) while house standard is 80%,cicd,High,S,ci.yml:94;ci.yml:142;pyproject.toml:595,Both CI test jobs pass --cov-fail-under=0 plus --no-cov-on-fail; release.yml uses 80%. A regression dropping coverage to near zero passes CI and only fails at release.,"Set --cov-fail-under=80 in both CI jobs, or enforce a combined threshold in ci-gate.",
CI-03,Coverage artifact name mismatch silently breaks Codecov/Qlty uploads,cicd,High,S,ci.yml:107;ci.yml:155;codecov.yml:28;qlty.yml:23,"CI uploads coverage-cloudflare-auth and coverage-gcs-utilities; the workflow_run consumers expect a single artifact named coverage-reports. No step produces coverage-reports, so downstream uploads process nothing.",Rename CI artifacts to coverage-reports (merged XML) or change the three consumers to a coverage-* pattern.,
CI-04,"Bandit runs with || true, so security findings never fail CI",cicd,High,S,ci.yml:181,ci.yml:181 Bandit step ends in || true; the Security Scan job always passes. Contradicts CLAUDE.md 'fail on HIGH/CRITICAL by default'.,Remove || true from the Bandit step; assert_used config already skips test asserts so a failure is signal.,
DEP-01,"Vulnerable production crypto/auth deps at locked versions (pyjwt, cryptography, starlette)",dependencies,High,S,packages/cloudflare-auth/pyproject.toml:29-45;uv.lock,"uvx pip-audit 2.10.0 against exported lock: pyjwt 2.10.1 (PYSEC-2026-120, fix 2.12.0), cryptography 46.0.3 (CVE-2026-26007/PYSEC-2026-35/36, fix 46.0.7), starlette 0.50.0 (PYSEC-2026-161, fix 1.0.1). Open version floors mean a re-resolve pulls fixes.",Re-resolve the lock and confirm fixed versions; verify FastAPI compatibility before the starlette major bump. Re-run pip-audit to confirm advisories are current.,PYSEC-2026-120;PYSEC-2025-183;CVE-2026-26007;PYSEC-2026-35;PYSEC-2026-36;PYSEC-2026-161
DEP-03,"Lockfile stale ~5.5 months; reproducible but out of date, root cause of persisting CVEs",dependencies,High,S,uv.lock;pyproject.toml,uv.lock last modified by commit 2d84e06 on 2025-12-15; HEAD is 2026-05-07. Open >= floors mean DEP-01/DEP-02 fixes exist upstream but were never re-resolved into the lock.,"Run uv lock, commit, re-audit; add a scheduled uv lock --upgrade plus pip-audit job so drift is caught.",
DOC-01,Handoff doc says cloudflare-api belongs in another repo while README ships it as first-class,docs,High,S,docs/cloudflare-api-handoff.md;README.md:46;packages/cloudflare-api/,cloudflare-api-handoff.md:14 states the package 'was developed in the wrong repository ... ready for migration to homelab-infra'; README.md:46 lists it as maintained and it is a live workspace member.,"Decide ownership: if it stays, delete the handoff doc and add a normal package README/ADR.",
SEC-02,"IP allowlist uses string prefix matching, not CIDR",security,High,S,packages/cloudflare-auth/src/cloudflare_auth/middleware.py:193-197,"client_ip.startswith(allowed_ip.rstrip('/') + '.') is a string test: a 10.0.0.0/8 entry becomes prefix 10.0.0.0. and matches nothing, while a short 10.0 over-matches. No IPv6 handling. Sibling cloudflare-api already has correct ipaddress-based logic.","Use ipaddress.ip_address(client_ip) in ipaddress.ip_network(allowed_ip, strict=False); reject unparseable entries at config load; add subnet/IPv6 tests.",
ARCH-02,Five independent exception hierarchies reimplement one message+context+serialize pattern,architecture,High,M,src/python_libs/core/exceptions.py;packages/cloudflare-api/src/cloudflare_api/exceptions.py;packages/gcs-utilities/src/gcs_utilities/exceptions.py,"ProjectBaseError(to_dict, error_code, details), CloudflareAPIError(code, errors, response), and GCSError(bare pass) solve the same concern with incompatible constructors; cross-package error handling needs two attribute sets.","Reparent per-package errors onto the existing ProjectBaseError, or at minimum align the message/details/error_code/to_dict contract.",
ARCH-04,Two full middleware implementations; original superseded but still exported,architecture,High,M,packages/cloudflare-auth/src/cloudflare_auth/middleware.py;packages/cloudflare-auth/src/cloudflare_auth/middleware_enhanced.py;packages/cloudflare-auth/src/cloudflare_auth/__init__.py,"middleware_enhanced.py does not subclass middleware.py; both define their own BaseHTTPMiddleware subclass, setup function, and get_current_user with copy-and-evolve bodies. __init__ exports both classes but only the enhanced setup.",Remove middleware.py or make enhanced extend it so shared request/JWT logic lives once; export one get_current_user.,
CQ-06,Placeholder assert-True tests; package tests cannot run in-env; 99% coverage figure covers ~1% of code,code-quality,High,M,packages/gcs-utilities/tests/test_exceptions.py:10;tests/unit/test_correlation.py:16;pyproject.toml:595,Root suite reports 99.32% but only covers src/python_libs (115 statements); the four packages (>9000 LOC) are excluded. cloudflare-auth tests fail collection (no fastapi). Three assert True placeholders; pytest-cov not installed so documented pytest --cov is broken.,"Add pytest-cov and package runtime deps to the dev group, scope the 80% gate across all packages, and replace or delete the placeholder tests.",
DOC-03,CLAUDE.md Project Structure omits all 4 packages where shipped code lives,docs,High,M,CLAUDE.md:417-434;CLAUDE.md:447,"CLAUDE.md tree is rooted at src/python_libs/ and never mentions packages/{cloudflare-auth,cloudflare-api,gcs-utilities,gemini-image}; coverage example uses --cov=src. Agents following it look in the wrong place.",Replace the structure block with the real monorepo layout and fix coverage examples to span packages.,
DOC-04,CONTRIBUTING.md describes a single-package layout that does not exist,docs,High,M,CONTRIBUTING.md:52-65;CONTRIBUTING.md:239,CONTRIBUTING tree shows src/python_libs/ with a core.py file (reality is core/ directory); the import example from python_libs.core import YourModule is a non-existent symbol. No packages/ mention.,Rewrite the structure section for the monorepo and replace fake import examples with a real one.,
DOC-05,"API reference documents only the optional shared package, none of the 4 published packages",docs,High,M,docs/api-reference.md:16;docs/api-reference.md:25;mkdocs.yml:76,"api-reference.md has two autodoc blocks (python_libs.core.config, python_libs.utils.logging); the 4 shipped packages have none. mkdocs paths: [src] cannot resolve packages/*/src symbols.",Add packages/*/src to mkdocstrings paths and add per-package API pages to nav.,
